Date,Time,Core Usage (avg) [%],Total CPU Usage [%],Memory Clock [MHz],Physical Memory Available [MB]
13.10.2021,53:54.4,13.6,13.6,1796.6,9198
13.10.2021,53:56.5,12.7,12.7,1796.6,9204
13.10.2021,53:58.5,21.3,21.3,1796.6,9288
13.10.2021,54:00.5,11.2,11.2,1796.6,9294
13.10.2021,54:02.6,5.5,5.5,1796.6,9295
13.10.2021,54:04.6,13.1,13.1,1796.6,9294
13.10.2021,54:06.7,14.6,14.6,1796.6,9292
13.10.2021,54:08.7,16.9,16.9,1796.6,9288
13.10.2021,54:10.7,15.7,15.7,1796.6,9281
13.10.2021,54:12.7,11.2,11.2,1796.6,9277
13.10.2021,54:14.8,7.6,7.6,1796.6,9278
13.10.2021,54:16.8,5.5,5.5,1796.6,9282
13.10.2021,54:18.8,5.7,5.7,1796.6,9285
13.10.2021,54:20.9,9.3,9.3,1796.6,9283
13.10.2021,54:22.9,10.1,10.1,1796.6,9286
13.10.2021,54:24.9,10.2,10.2,1796.6,9288
13.10.2021,54:27.0,6.2,6.2,1796.6,9288
13.10.2021,54:29.0,5.3,5.3,1796.6,9288
13.10.2021,54:31.0,3.5,3.5,1796.6,9288
13.10.2021,54:33.1,6.3,6.3,1796.6,9288
13.10.2021,54:35.1,9.4,9.4,1796.6,9285
13.10.2021,54:37.1,11,11,1796.6,9285
13.10.2021,54:39.2,10.9,10.9,1796.6,9286
13.10.2021,54:41.2,8.7,8.7,1796.6,9284
13.10.2021,54:43.2,5.8,5.8,1796.6,9283
13.10.2021,54:45.3,3.6,3.6,1796.6,9286
13.10.2021,54:47.3,5.2,5.2,1796.6,9285
13.10.2021,54:49.3,10.5,10.5,1796.6,9287
13.10.2021,54:51.4,10.5,10.5,1796.6,9283
13.10.2021,54:53.4,8.1,8.1,1796.6,9286
13.10.2021,54:55.4,8.9,8.9,1796.6,9287
13.10.2021,54:57.5,8,8,1796.6,9289
13.10.2021,54:59.5,3.7,3.7,1796.6,9289
13.10.2021,55:01.5,5.6,5.6,1796.6,9289
13.10.2021,55:03.6,7,7,1796.6,9279
13.10.2021,55:05.6,9.8,9.8,1796.6,9278
13.10.2021,55:07.6,9.6,9.6,1796.6,9281
13.10.2021,55:09.7,6.7,6.7,1796.6,9281
13.10.2021,55:11.7,4.5,4.5,1796.6,9282
13.10.2021,55:13.7,3.6,3.6,1796.6,9289
13.10.2021,55:15.8,5.7,5.7,1796.6,9291
13.10.2021,55:17.8,7,7,1796.6,9291
13.10.2021,55:19.8,11.1,11.1,1796.6,9291
13.10.2021,55:21.9,8.7,8.7,1796.6,9290
13.10.2021,55:23.9,7.3,7.3,1796.6,9292
13.10.2021,55:25.9,5.3,5.3,1796.6,9293
13.10.2021,55:28.0,3.7,3.7,1796.6,9291
13.10.2021,55:30.0,5.7,5.7,1796.6,9289
13.10.2021,55:32.1,7.2,7.2,1796.6,9298
13.10.2021,55:34.1,8,8,1796.6,9296
13.10.2021,55:36.1,7.8,7.8,1796.6,9293
13.10.2021,55:38.2,8.2,8.2,1796.6,9296
13.10.2021,55:40.2,6.6,6.6,1796.6,9298
13.10.2021,55:42.2,4.3,4.3,1796.6,9297
13.10.2021,55:44.2,4.5,4.5,1796.6,9299
13.10.2021,55:46.3,10.5,10.5,1796.6,9296
13.10.2021,55:48.3,9.5,9.5,1796.6,9299
13.10.2021,55:50.3,7.5,7.5,1796.6,9291
13.10.2021,55:52.4,8.3,8.3,1796.6,9295
13.10.2021,55:54.4,7.6,7.6,1796.6,9292
13.10.2021,55:56.4,4.1,4.1,1796.6,9290
13.10.2021,55:58.5,4.7,4.7,1796.6,9291
13.10.2021,56:00.5,7.4,7.4,1796.6,9291
13.10.2021,56:02.5,13.9,13.9,1796.6,9291
13.10.2021,56:04.6,8.5,8.5,1796.6,9292
13.10.2021,56:06.6,7.5,7.5,1796.6,9289
13.10.2021,56:08.6,5.5,5.5,1796.6,9291
13.10.2021,56:10.7,2.8,2.8,1796.6,9292
13.10.2021,56:12.7,5.3,5.3,1796.6,9299
13.10.2021,56:14.7,6.6,6.6,1796.6,9300
13.10.2021,56:16.8,10.7,10.7,1796.6,9301
13.10.2021,56:18.8,7.8,7.8,1796.6,9300
13.10.2021,56:20.8,8.8,8.8,1796.6,9300
,,,,,Physical Memory Available [MB]
,,,,,System: GIGABYTE B550I AORUS PRO AX
